I,IM7,I7,IV
I,Iaug,I6,Iaug
I,bII,bIII,bII
I,II7,IIm7,V7
I,II7,IV,I
I,II7,V7,I
I,IIm,I,IIm
I,IIm,IIIm,IIm
I,IIm,IIIm,IV
I,IIm,IIIm,VIm
I,IIm7,V7,VIm
I,III7,VIm,I7
I,III7,VIm,III7
I,III7,VIm,IV
I,IIIm,IIm7,V7
I,IIIm,IV,V
I,IIIm,VIm,IIm7,V7
I,IV,I,IV
I,IV,I,V
I,IV,V
I,IV,V,I
I,V,IIIm,VIm
I,V,IV,I
I,V,VIm,IIIm
I,V,VIm,IIIm,IV,V,I
I,V,VIm,IIIm,IIm7,V,I
I,V,VIm,IIIm,IV,I
I,V,VIm,IIIm,IV,I,IIm7,V7
I,V,VIm,IV
I,V,VIm,IV,IIIm,V,I
I,Vm,I7,IV
I,VI7,IIm7,V
I,VIm,I,VIm
I,VIm,II7,V7
I,VIm,IIm,III7
I,VIm,IIm7,IVm
I,VIm,IIm7,V7
I,VIm,IIIm,IIm7,V7
I,VIm,IIIm,V
I,VIm,IV,I
I,VIm,IV,V
I,VIm,IVm,V7
I,VIIm7,III7,VIm
I,VIm,bVI,V
I,bVII,I,bVII
I,bVII,IV,I
I7,bIIIm7
I7,IV7,I7,V7
IM7,bIIIM7
Im,#Idim7,IIm7,V7
Im,bIII,Im,bIII
Im,bIII,IV,bVI
Im,bVI,bIII,bVII
Im,bVI,bVII,bIII
Im,bVII,bVI,bVII
Im,bVII,bVI,V7
Im,bVII,bVI,Vm,IVm,bIII,II7,bII7
Im,ImM7,Im7,Im6
Im,ImM7,Im7,IV7
Im,IV,V7
Im,IV7,bVII7,bIII
Im,IVm,bIII,V7
Im,IVm,bVII,V7
Im,IVm,Vm
Im,IVm,Vm,Im
Im,IVm7,bVII7,bIII
Im,IVm7,bVII7,bIII,bVIM7,IIm7,IIm7b5,V7,Im
Im,V7,Im,V7
Im,Vm,Im,Vm
Im,Vm,IVm
Im,Vm,bVI,bVII
Im,VII7,bVII7,bIII
Im7,bIIIm7
Im7,bVIIm7,Im7,bVIIm7
Im7,IV7,Im7,IV7
Im7,IVm7,Im7
IIm,bII7,I
IIm,III7,IVm
IIm7,V7,I,I
IIm7,V7,IM7,IVM7
IIm7,V7,I,VIm
IIm7,V7,IIm7,V7
IIm7,V7,IIIm,VIm
bIII,I7,IVm7,bVII7
bIII,Im,bIII,Im
bIII,Im,IV7,bVII
bIII,Im,IVm,V7
bIII,Im,IVm7,bVII7
bIII,Im,Vm,bVII7
bIII,Im,bIV,bIII
bIII,Im,bIV,bVII
bIII,bII,bIV,bIII
bIII,IIm7,V7,Im
bIII,IIIdim,IVm7,bVII7
bIII,bIIIM7,bIII7,bVI
bIII,bIIIaug,bIII6,bIIIaug
bIII,IV7,IVm7,bVII7
bIII,IV7,bVI,bIII
bIII,IVm,Vm,Im
bIII,IVm,Vm,IVm
bIII,IVm,Vm,bVI
bIII,IVm7,bVIIm,Im
bIII,V7,Im,Im,V7
bIII,Vm,IVm7,bVII7
bIII,Vm,bVI,bVII
bIII,bVI,bVII
bIII,bVII,Im,bVI
bIII,bVII,Im,bVI,bVII,bIII
bIII,bVII,Im,Vm
bIII,bVII,Vm,Im
bIII,bVI,bIII,bVI
III7,VIm,IIm,V,I
III7,VIm,IV,V,I
III7,VIm,VI7,IIm7,V7
III7,VIm,VI7,IIm7,V7,I
IIIm,VIm,IV,V
IIIm7,VI7,IIm7,V7,I
IV,I,IV,I
IV,I,V,I
IV,I,V,VIm
IV,IIIm,IIm
IV,IIIm,IIm,I
IV,IIIsus4,III
IV,IVm,I
IV,IVm,V7,I
IV,#IVdim7,I
IV,#IVdim7,V
IV,V,I
IV,V,I,III7
IV,V,I,VIm
IV,V,III
IV,V,IIIm,IV,V,VIm
IV,V,IIIm,VIm
IV,V,VIm
IVm,Im,IVm,Im
IVm,bIV7,bIII
IVm,V7,Im
IVm7,Vm7,Im7
IVm7,bVII7,bIIIM7,bVIM7
IVm7,bVII7,bIIIM7,Im
IVm7,bVII7,Vm,Im
#IVm7b5,IV,IIIm,VIm
V,IV,I
V7,Im,I7,IVm7,IV7,bVII7
V7,Im,IVm,bVII,bIII
Vm,Im,IVm7,bVII7
Vm,Im,IVm7,bVII7,bIII
Vm,Im,bVI,bVII
Vm,IVm,bVII,bIII
bVI,bIII,bVII,Im
bVI,bIII,bVI,bIII
bVI,Vm,IVm,bIII
bVI,Vsus4,V
bVI,VIdim7,bIII
bVI,VIdim7,bVII
bVI,bVII,I
bVI,bVII,Im
bVI,bVII,bIII,Im
bVI,bVII,bIII,V7
bVI,bVII,Vm
bVI,bVII,Vm,Im
bVI,bVII,Vm,bVI,bVII,Im
bVI,bVII,bVI,bVII
VIm,I,II,IV
VIm,I,VIm,I
VIm,II7,V7,I
VIm,IIm,I,III7
VIm,IIm,V7,III7
VIm,IIm7,V,I
VIm,IIm7,V,I,IVM7,VIIm7b5,III7,VIm
VIm,III7,VIm,III7
VIm,IIIm,IV,V
VIm,IV,I,V
VIm,IV,V,I
VIm,V,IV,V
VIm,bVI7,V7,I
VIm,VImM7,VIm7,II7
VIm,VImM7,VIm7,VIm6